Base License Number,Base Name,DBA,Year,Month,Month Name,Date,Total Dispatched Trips,Total Dispatched Shared Trips,Unique Dispatched Vehicles,,
B02917,C & A BLACK CAR CORP.,,2019,2,February,February-2019,167,0,25,,
B03144,JUST A MOMENT CAR SERVICE INC,,2020,10,October,October-2020,205,0,5,,
B02099,SUNNY'S LIMOUSINE SERVICE INC,SSS LIMO SERVICE,2016,7,July,July-2016,2527,0,50,,
B02331,"CHICO EXPRESS LIMO, INC.",,2017,9,September,September-2017,1336,0,6,,
B01979,DREAMLAND CAR & LIMO.SVC INC.,,2017,3,March,March-2017,1409,0,18,,
B02769,MAVROS TRANSPORTATION INC,,2020,7,July,July-2020,1370,0,8,,
B01340,UNICAR COMPANY INC,,2020,4,April,April-2020,3722,0,27,,
B02003,"AVALON CORPORATE CAR,INC.",,2019,12,December,December-2019,2029,0,68,,
b00827,"CASTLE CAR SERVICE, INC",,2016,2,February,February-2016,2355,0,15,,
B02173,ADMIRE LLP LLC,,2015,10,October,October-2015,472,0,21,,
B01391,ROSE 'N' DALE C/S INC,,2015,11,November,November-2015,25,0,6,,
B01413,SFL INC,,2020,2,February,February-2020,1692,0,42,,
B01128,PAK-EAGLE INC.,JEWEL CAR SERVICE,2017,12,December,December-2017,2246,0,7,,
B01803,"V.I.P. CONNECTION, INC.",CARLINK,2015,11,November,November-2015,3725,0,92,,
B00254,XYZ TWO WAY RADIO,,2021,12,December,December-2021,6478,0,113,,
B01455,REPUBLICA CAR & LIMO SERVICE CORP.,,2020,8,August,August-2020,5538,0,48,,
B02897,FC LIMOUSINE INC,,2019,12,December,December-2019,696,0,33,,
B01546,BELLE-ROCK OF BEACH CHANNEL INC.,,2021,9,September,September-2021,755,0,10,,
B02573,SUNSET PARK CAR SERVICE INC,,2018,4,April,April-2018,2363,0,12,,
B02848,V R WORLDWIDE INC,,2016,4,April,April-2016,66,0,4,,
B02410,"POLO LIMOUSINE, CORP.",,2022,1,January,January-2022,832,0,27,,
B02833,ADVANCED LUXURY LIMO SVC. INC.,,2020,5,May,May-2020,92,0,3,,
B02920,AMAZING CAR AND LIMO SERVICE INC,,2017,12,December,December-2017,1100,0,10,,
B02723,CHARLIE BLACK CAR INC.,,2017,1,January,January-2017,6397,0,112,,
B02897,FC LIMOUSINE INC,,2020,3,March,March-2020,133,0,16,,
B02292,NEW YORK APPLE V.I.P. CORP,,2015,9,September,September-2015,1008,0,33,,
B00445,JOE M LEASING CORP,FOUR TWO'S PVT C/S,2021,4,April,April-2021,4659,0,13,,
B02994,99 CAR SERVICES INC.,,2017,12,December,December-2017,126,0,3,,
B02845,MIRAE CALLS INC,,2016,6,June,June-2016,22,0,9,,
B03030,Q-FIRST LIMOUSINE CORP.,,2021,11,November,November-2021,128,0,6,,
